dep_id,application_id,library,version,is_risky,risk_type,severity,explanation
DEP-0001,APP-001,micrometer-core,3.0.10,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library micrometer-core:3.0.10 has CVE-2026-1050 (CVSS 6.1, MEDIUM). No patch available yet."
DEP-0002,APP-001,sqlalchemy,5.13.5,True,VULNERABLE_DEPENDENCY,LOW,"Library sqlalchemy:5.13.5 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available yet."
DEP-0003,APP-001,netty-all,2.7.4,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library netty-all:2.7.4 has CVE-2024-1163 (CVSS 6.8, MEDIUM). Patch available: upgrade to 6.0.0"
DEP-0004,APP-001,json-iterator,2.3.2,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library json-iterator:2.3.2 has CVE-2022-1083 (CVSS 6.5, MEDIUM). No patch available yet."
DEP-0005,APP-001,log4j-api,5.1.3,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library log4j-api:5.1.3 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available yet."
DEP-0006,APP-001,commons-collections4,4.7.1,True,UNMAINTAINED,HIGH,Library commons-collections4:4.7.1 last updated 2021-03-31 (1847 days ago). No security patches or maintenance activity.
DEP-0007,APP-001,commons-codec,4.11.10,False,NONE,NONE,No issues detected
DEP-0008,APP-001,gson,1.6.10,False,NONE,NONE,No issues detected
DEP-0009,APP-001,lombok,4.1.2,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library lombok:4.1.2 has CVE-2023-1002 (CVSS 9.9, CRITICAL). Patch available: upgrade to 4.10.0"
DEP-0010,APP-001,werkzeug,1.7.10,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library werkzeug:1.7.10 has CVE-2024-1004 (CVSS 5.6, MEDIUM). No patch available yet."
DEP-0011,APP-001,jackson-annotations,5.0.6,True,VULNERABLE_DEPENDENCY,LOW,"Library jackson-annotations:5.0.6 has CVE-2021-1018 (CVSS 0.9, LOW). Patch available: upgrade to 3.6.0"
DEP-0012,APP-001,resilience4j,1.8.0,False,NONE,NONE,No issues detected
DEP-0013,APP-001,slf4j-api,2.8.8,False,NONE,NONE,No issues detected
DEP-0014,APP-001,go-jwt,5.10.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library go-jwt:5.10.5 has CVE-2025-1145 (CVSS 6.7, MEDIUM). Patch available: upgrade to 3.0.0"
DEP-0015,APP-001,spring-security-core,1.2.0,True,VULNERABLE_DEPENDENCY,LOW,"Library spring-security-core:1.2.0 has CVE-2024-1104 (CVSS 3.3, LOW). Patch available: upgrade to 3.4.0"
DEP-0016,APP-001,snakeyaml,3.1.0,False,NONE,NONE,No issues detected
DEP-0017,APP-001,opentelemetry-api,4.10.2,False,NONE,NONE,No issues detected
DEP-0018,APP-001,logback-core,3.4.2,False,NONE,NONE,No issues detected
DEP-0019,APP-001,pyyaml,5.7.10,True,UNMAINTAINED,HIGH,Library pyyaml:5.7.10 last updated 2021-12-11 (1592 days ago). No security patches or maintenance activity.
DEP-0020,APP-001,jackson-databind,1.1.6,False,NONE,NONE,No issues detected
DEP-0021,APP-001,caffeine,2.5.7,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library caffeine:2.5.7 has CVE-2022-1085 (CVSS 5.5, MEDIUM). Patch available: upgrade to 4.7.0"
DEP-0022,APP-001,log4j-core,2.2.8,False,NONE,NONE,No issues detected
DEP-0023,APP-001,grpc-core,2.1.1,False,NONE,NONE,No issues detected
DEP-0024,APP-001,jedis,3.9.3,True,VULNERABLE_DEPENDENCY,LOW,"Library jedis:3.9.3 has CVE-2025-1195 (CVSS 1.1, LOW). Patch available: upgrade to 6.0.0"
DEP-0025,APP-001,jetty-server,2.3.0,False,NONE,NONE,No issues detected
DEP-0026,APP-001,commons-lang3,4.11.2,False,NONE,NONE,No issues detected
DEP-0027,APP-001,mockito-core,1.2.10,True,VULNERABLE_DEPENDENCY,HIGH,"Library mockito-core:1.2.10 has CVE-2025-1076 (CVSS 8.7, HIGH). No patch available yet."
DEP-0028,APP-001,junit-jupiter,4.1.8,True,UNMAINTAINED,MEDIUM,Library junit-jupiter:4.1.8 last updated 2024-03-30 (752 days ago). No security patches or maintenance activity.
DEP-0029,APP-001,hibernate-validator,1.13.1,True,UNMAINTAINED,MEDIUM,Library hibernate-validator:1.13.1 last updated 2023-05-03 (1084 days ago). No security patches or maintenance activity.
DEP-0030,APP-001,guava,1.2.6,False,NONE,NONE,No issues detected
DEP-0031,APP-001,h2-database,5.3.1,False,NONE,NONE,No issues detected
DEP-0032,APP-001,mapstruct,4.15.0,False,NONE,NONE,No issues detected
DEP-0033,APP-001,kafka-clients,4.8.5,True,LICENSE_CONFLICT,CRITICAL,Library kafka-clients uses GPL-3.0 license in proprietary application CustomerPortal. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0034,APP-001,mysql-connector-java,4.2.3,False,NONE,NONE,No issues detected
DEP-0035,APP-001,sarama,5.0.2,True,VULNERABLE_DEPENDENCY,LOW,"Library sarama:5.0.2 has CVE-2025-1192 (CVSS 2.3, LOW). Patch available: upgrade to 4.0.0"
DEP-0036,APP-001,tomcat-embed-core,2.7.8,False,NONE,NONE,No issues detected
DEP-0037,APP-001,fabric,3.0.6,False,NONE,NONE,No issues detected
DEP-0038,APP-001,commons-io,2.4.6,False,NONE,NONE,No issues detected
DEP-0039,APP-001,spring-core,2.9.0,False,NONE,NONE,No issues detected
DEP-0040,APP-001,assertj-core,3.6.6,False,NONE,NONE,No issues detected
DEP-0041,APP-001,jackson-core,4.9.1,True,TRANSITIVE_LICENSE_CONFLICT,HIGH,Transitive dependency jackson-core uses AGPL-3.0 in proprietary app CustomerPortal. GPL contamination through dependency chain.
DEP-0042,APP-001,hibernate-core,3.4.1,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency hibernate-core:3.4.1 has CVE-2022-1023 (CVSS 1.0). Inherited via dependency chain — not directly declared by CustomerPortal.
DEP-0043,APP-001,disruptor,2.2.8,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency disruptor:2.2.8 has CVE-2024-1174 (CVSS 7.4). Inherited via dependency chain — not directly declared by CustomerPortal.
DEP-0044,APP-001,spring-web,2.11.0,False,NONE,NONE,No issues detected
DEP-0045,APP-001,logback-classic,4.11.0,True,UNMAINTAINED,MEDIUM,Transitive dependency logback-classic:4.11.0 last updated 2024-01-27 (815 days ago). Unmaintained transitive risk.
DEP-0046,APP-001,eslint,2.10.8,False,NONE,NONE,No issues detected
DEP-0047,APP-001,aws-sdk-s3,2.4.1,False,NONE,NONE,No issues detected
DEP-0048,APP-001,crypto-go,3.10.1,False,NONE,NONE,No issues detected
DEP-0049,APP-001,httpcore,3.4.4,False,NONE,NONE,No issues detected
DEP-0050,APP-001,netty-handler,1.7.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency netty-handler:1.7.3 has CVE-2023-1080 (CVSS 5.5). Inherited via dependency chain — not directly declared by CustomerPortal.
DEP-0051,APP-002,caffeine,4.4.5,True,VULNERABLE_DEPENDENCY,LOW,"Library caffeine:4.4.5 has CVE-2026-1084 (CVSS 1.3, LOW). Patch available: upgrade to 3.6.0"
DEP-0052,APP-002,aws-sdk-s3,2.0.9,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library aws-sdk-s3:2.0.9 has CVE-2021-1093 (CVSS 4.1, MEDIUM). Patch available: upgrade to 3.2.0"
DEP-0053,APP-002,resilience4j,5.1.10,False,NONE,NONE,No issues detected
DEP-0054,APP-002,snakeyaml,3.15.2,True,VULNERABLE_DEPENDENCY,HIGH,"Library snakeyaml:3.15.2 has CVE-2024-1013 (CVSS 8.4, HIGH). Patch available: upgrade to 4.4.0"
DEP-0055,APP-002,vue,3.3.1,False,NONE,NONE,No issues detected
DEP-0056,APP-002,httpcore,5.15.3,False,NONE,NONE,No issues detected
DEP-0057,APP-002,logback-core,4.9.4,False,NONE,NONE,No issues detected
DEP-0058,APP-002,grpc-core,3.11.7,False,NONE,NONE,No issues detected
DEP-0059,APP-002,httpclient,4.14.4,False,NONE,NONE,No issues detected
DEP-0060,APP-002,guava,1.5.1,False,NONE,NONE,No issues detected
DEP-0061,APP-002,aws-sdk-sqs,2.15.7,False,NONE,NONE,No issues detected
DEP-0062,APP-002,redis-py,4.11.10,False,NONE,NONE,No issues detected
DEP-0063,APP-002,jedis,2.15.7,True,VULNERABLE_DEPENDENCY,LOW,"Library jedis:2.15.7 has CVE-2025-1195 (CVSS 1.1, LOW). Patch available: upgrade to 6.0.0"
DEP-0064,APP-002,spring-boot-starter,4.7.1,False,NONE,NONE,No issues detected
DEP-0065,APP-002,spring-web,4.0.1,True,LICENSE_UNKNOWN,MEDIUM,Library spring-web has no declared license. Legal status unclear; cannot confirm proprietary compatibility.
DEP-0066,APP-002,hibernate-validator,4.10.5,True,VULNERABLE_DEPENDENCY,LOW,"Library hibernate-validator:4.10.5 has CVE-2021-1062 (CVSS 1.3, LOW). Patch available: upgrade to 4.9.0"
DEP-0067,APP-002,assertj-core,2.0.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library assertj-core:2.0.5 has CVE-2024-1118 (CVSS 5.0, MEDIUM). No patch available yet."
DEP-0068,APP-002,jackson-core,4.3.4,False,NONE,NONE,No issues detected
DEP-0069,APP-002,netty-all,5.4.7,True,LICENSE_CONFLICT,CRITICAL,Library netty-all uses AGPL-3.0 license in proprietary application PaymentService. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0070,APP-002,tomcat-embed-core,5.10.8,False,NONE,NONE,No issues detected
DEP-0071,APP-002,postgresql-jdbc,2.13.9,False,NONE,NONE,No issues detected
DEP-0072,APP-002,slf4j-api,2.5.8,False,NONE,NONE,No issues detected
DEP-0073,APP-002,micrometer-core,5.9.6,True,UNMAINTAINED,HIGH,Library micrometer-core:5.9.6 last updated 2020-04-25 (2187 days ago). No security patches or maintenance activity.
DEP-0074,APP-002,mapstruct,2.9.10,False,NONE,NONE,No issues detected
DEP-0075,APP-002,golangci-lint,4.3.9,False,NONE,NONE,No issues detected
DEP-0076,APP-002,hibernate-core,3.1.6,True,VULNERABLE_DEPENDENCY,LOW,"Library hibernate-core:3.1.6 has CVE-2022-1023 (CVSS 1.0, LOW). Patch available: upgrade to 1.7.0"
DEP-0077,APP-002,jackson-databind,2.11.9,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library jackson-databind:2.11.9 has CVE-2024-1117 (CVSS 5.6, MEDIUM). Patch available: upgrade to 5.0.0"
DEP-0078,APP-002,kafka-clients,1.10.7,False,NONE,NONE,No issues detected
DEP-0079,APP-002,log4j-api,5.11.1,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library log4j-api:5.11.1 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available yet."
DEP-0080,APP-002,psycopg2,1.11.3,False,NONE,NONE,No issues detected
DEP-0081,APP-002,commons-collections4,3.14.3,False,NONE,NONE,No issues detected
DEP-0082,APP-002,junit-jupiter,5.9.0,False,NONE,NONE,No issues detected
DEP-0083,APP-002,jetty-server,2.10.8,False,NONE,NONE,No issues detected
DEP-0084,APP-002,mysql-connector-java,1.6.8,False,NONE,NONE,No issues detected
DEP-0085,APP-002,bouncycastle-bcprov,2.8.8,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library bouncycastle-bcprov:2.8.8 has CVE-2021-1009 (CVSS 9.6, CRITICAL). Patch available: upgrade to 1.10.0"
DEP-0086,APP-002,h2-database,1.12.0,True,UNMAINTAINED,MEDIUM,Transitive dependency h2-database:1.12.0 last updated 2023-11-05 (898 days ago). Unmaintained transitive risk.
DEP-0087,APP-002,jackson-annotations,3.9.1,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency jackson-annotations:3.9.1 has CVE-2021-1018 (CVSS 0.9). Inherited via dependency chain — not directly declared by PaymentService.
DEP-0088,APP-002,testify,2.2.6,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency testify:2.2.6 has CVE-2026-1045 (CVSS 8.0). Inherited via dependency chain — not directly declared by PaymentService.
DEP-0089,APP-002,morgan,3.0.8,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency morgan:3.0.8 has CVE-2025-1105 (CVSS 4.6). Inherited via dependency chain — not directly declared by PaymentService.
DEP-0090,APP-002,protobuf-java,3.3.5,False,NONE,NONE,No issues detected
DEP-0091,APP-002,disruptor,2.3.4,False,NONE,NONE,No issues detected
DEP-0092,APP-002,commons-lang3,4.10.8,True,UNMAINTAINED,MEDIUM,Transitive dependency commons-lang3:4.10.8 last updated 2024-01-26 (816 days ago). Unmaintained transitive risk.
DEP-0093,APP-002,commons-codec,3.5.2,False,NONE,NONE,No issues detected
DEP-0094,APP-002,logback-classic,3.7.7,False,NONE,NONE,No issues detected
DEP-0095,APP-002,lombok,3.12.5,False,NONE,NONE,No issues detected
DEP-0096,APP-002,log4j-core,4.4.5,False,NONE,NONE,No issues detected
DEP-0097,APP-002,spring-core,3.7.8,False,NONE,NONE,No issues detected
DEP-0098,APP-002,aiohttp,2.4.1,False,NONE,NONE,No issues detected
DEP-0099,APP-002,netty-handler,4.12.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency netty-handler:4.12.3 has CVE-2023-1080 (CVSS 5.5). Inherited via dependency chain — not directly declared by PaymentService.
DEP-0100,APP-002,bandit,3.6.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency bandit:3.6.3 has CVE-2023-1065 (CVSS 5.3). Inherited via dependency chain — not directly declared by PaymentService.
DEP-0101,APP-003,requests,4.15.9,True,LICENSE_CONFLICT,HIGH,Library requests uses GPL-2.0 license in proprietary application InternalAPI. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0102,APP-003,pip,2.4.2,True,VULNERABLE_DEPENDENCY,HIGH,"Library pip:2.4.2 has CVE-2024-1184 (CVSS 8.6, HIGH). Patch available: upgrade to 3.0.0"
DEP-0103,APP-003,twisted,2.5.2,True,LICENSE_UNKNOWN,MEDIUM,Library twisted has no declared license. Legal status unclear; cannot confirm proprietary compatibility.
DEP-0104,APP-003,setuptools,2.12.9,False,NONE,NONE,No issues detected
DEP-0105,APP-003,numpy,5.8.2,True,UNMAINTAINED,HIGH,Library numpy:5.8.2 last updated 2022-02-13 (1528 days ago). No security patches or maintenance activity.
DEP-0106,APP-003,aws-sdk-s3,5.13.2,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library aws-sdk-s3:5.13.2 has CVE-2021-1093 (CVSS 4.1, MEDIUM). Patch available: upgrade to 3.2.0"
DEP-0107,APP-003,junit-jupiter,4.13.5,False,NONE,NONE,No issues detected
DEP-0108,APP-003,black,3.15.3,False,NONE,NONE,No issues detected
DEP-0109,APP-003,psycopg2,1.3.8,True,LICENSE_CONFLICT,CRITICAL,Library psycopg2 uses AGPL-3.0 license in proprietary application InternalAPI. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0110,APP-003,pydantic,5.8.4,True,VULNERABLE_DEPENDENCY,HIGH,"Library pydantic:5.8.4 has CVE-2022-1181 (CVSS 7.3, HIGH). No patch available yet."
DEP-0111,APP-003,log4j-api,2.3.3,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library log4j-api:2.3.3 has CVE-2022-1041 (CVSS 6.3, MEDIUM). No patch available yet."
DEP-0112,APP-003,paramiko,1.2.4,False,NONE,NONE,No issues detected
DEP-0113,APP-003,markupsafe,2.15.7,True,VULNERABLE_DEPENDENCY,LOW,"Library markupsafe:2.15.7 has CVE-2022-1161 (CVSS 2.6, LOW). Patch available: upgrade to 3.0.0"
DEP-0114,APP-003,pandas,5.5.10,True,UNMAINTAINED,HIGH,Library pandas:5.5.10 last updated 2021-07-19 (1737 days ago). No security patches or maintenance activity.
DEP-0115,APP-003,bandit,1.2.8,False,NONE,NONE,No issues detected
DEP-0116,APP-003,cryptography,4.12.9,True,LICENSE_CONFLICT,HIGH,Library cryptography uses GPL-2.0 license in proprietary application InternalAPI. Viral copyleft requires open-sourcing derivative works or removing the dependency.
DEP-0117,APP-003,sqlalchemy,5.8.8,True,VULNERABLE_DEPENDENCY,LOW,"Library sqlalchemy:5.8.8 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available yet."
DEP-0118,APP-003,redis-py,2.10.6,False,NONE,NONE,No issues detected
DEP-0119,APP-003,pyyaml,2.15.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library pyyaml:2.15.5 has CVE-2026-1067 (CVSS 6.3, MEDIUM). No patch available yet."
DEP-0120,APP-003,node-fetch,2.11.2,False,NONE,NONE,No issues detected
DEP-0121,APP-003,httpx,4.5.8,True,VULNERABLE_DEPENDENCY,LOW,"Library httpx:4.5.8 has CVE-2022-1136 (CVSS 2.8, LOW). No patch available yet."
DEP-0122,APP-003,coverage,2.14.1,False,NONE,NONE,No issues detected
DEP-0123,APP-003,zap,2.8.3,True,VULNERABLE_DEPENDENCY,CRITICAL,"Library zap:2.8.3 has CVE-2021-1014 (CVSS 9.5, CRITICAL). Patch available: upgrade to 5.3.0"
DEP-0124,APP-003,fastapi,5.4.9,False,NONE,NONE,No issues detected
DEP-0125,APP-003,mocha,2.10.7,True,UNMAINTAINED,HIGH,Library mocha:2.10.7 last updated 2020-11-30 (1968 days ago). No security patches or maintenance activity.
DEP-0126,APP-003,jinja2,3.15.10,False,NONE,NONE,No issues detected
DEP-0127,APP-003,python-dateutil,5.6.9,False,NONE,NONE,No issues detected
DEP-0128,APP-003,flask,5.9.7,False,NONE,NONE,No issues detected
DEP-0129,APP-003,wheel,2.10.3,False,NONE,NONE,No issues detected
DEP-0130,APP-003,certifi,2.0.2,True,VULNERABLE_DEPENDENCY,LOW,"Library certifi:2.0.2 has CVE-2022-1168 (CVSS 1.4, LOW). Patch available: upgrade to 3.0.0"
DEP-0131,APP-003,botocore,4.1.0,False,NONE,NONE,No issues detected
DEP-0132,APP-003,rich,4.9.3,False,NONE,NONE,No issues detected
DEP-0133,APP-003,ansible-core,3.10.7,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library ansible-core:3.10.7 has CVE-2022-1157 (CVSS 5.4, MEDIUM). Patch available: upgrade to 4.0.0"
DEP-0134,APP-003,pyjwt,5.13.8,True,VULNERABLE_DEPENDENCY,HIGH,"Library pyjwt:5.13.8 has CVE-2025-1123 (CVSS 7.3, HIGH). No patch available yet."
DEP-0135,APP-003,fabric,5.4.5,False,NONE,NONE,No issues detected
DEP-0136,APP-003,colly,3.9.3,False,NONE,NONE,No issues detected
DEP-0137,APP-003,click,4.6.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency click:4.6.3 has CVE-2024-1040 (CVSS 4.0). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0138,APP-003,celery,2.8.4,False,NONE,NONE,No issues detected
DEP-0139,APP-003,uvicorn,2.2.4,False,NONE,NONE,No issues detected
DEP-0140,APP-003,safety,4.3.5,True,TRANSITIVE_LICENSE_CONFLICT,HIGH,Transitive dependency safety uses GPL-2.0 in proprietary app InternalAPI. GPL contamination through dependency chain.
DEP-0141,APP-003,idna,2.1.4,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency idna:2.1.4 has CVE-2021-1088 (CVSS 5.5). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0142,APP-003,boto3,2.5.6,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency boto3:2.5.6 has CVE-2026-1005 (CVSS 3.6). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0143,APP-003,django,1.4.6,False,NONE,NONE,No issues detected
DEP-0144,APP-003,werkzeug,1.1.3,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency werkzeug:1.1.3 has CVE-2024-1004 (CVSS 5.6). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0145,APP-003,urllib3,2.7.6,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency urllib3:2.7.6 has CVE-2023-1140 (CVSS 6.0). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0146,APP-003,scikit-learn,3.7.4,True,TRANSITIVE_VULNERABILITY,LOW,Transitive dependency scikit-learn:3.7.4 has CVE-2021-1007 (CVSS 3.7). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0147,APP-003,gunicorn,3.0.2,False,NONE,NONE,No issues detected
DEP-0148,APP-003,go-redis,4.11.2,True,TRANSITIVE_VULNERABILITY,HIGH,Transitive dependency go-redis:4.11.2 has CVE-2024-1128 (CVSS 8.4). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0149,APP-003,pytest,1.5.2,False,NONE,NONE,No issues detected
DEP-0150,APP-003,pillow,3.12.7,True,TRANSITIVE_VULNERABILITY,MEDIUM,Transitive dependency pillow:3.12.7 has CVE-2026-1026 (CVSS 6.8). Inherited via dependency chain — not directly declared by InternalAPI.
DEP-0151,APP-004,coverage,5.12.10,False,NONE,NONE,No issues detected
DEP-0152,APP-004,morgan,4.11.0,False,NONE,NONE,No issues detected
DEP-0153,APP-004,sqlalchemy,5.13.1,True,VULNERABLE_DEPENDENCY,LOW,"Library sqlalchemy:5.13.1 has CVE-2024-1183 (CVSS 3.1, LOW). No patch available yet."
DEP-0154,APP-004,paramiko,5.10.10,False,NONE,NONE,No issues detected
DEP-0155,APP-004,gunicorn,3.11.7,False,NONE,NONE,No issues detected
DEP-0156,APP-004,numpy,1.9.3,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library numpy:1.9.3 has CVE-2024-1024 (CVSS 4.1, MEDIUM). No patch available yet."
DEP-0157,APP-004,pytest,2.8.5,True,UNMAINTAINED,HIGH,Library pytest:2.8.5 last updated 2022-03-29 (1484 days ago). No security patches or maintenance activity.
DEP-0158,APP-004,python-dateutil,2.15.9,False,NONE,NONE,No issues detected
DEP-0159,APP-004,cors,4.13.1,False,NONE,NONE,No issues detected
DEP-0160,APP-004,django,2.10.8,False,NONE,NONE,No issues detected
DEP-0161,APP-004,mypy,2.4.5,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library mypy:2.4.5 has CVE-2022-1175 (CVSS 4.7, MEDIUM). Patch available: upgrade to 5.0.0"
DEP-0162,APP-004,boto3,4.6.8,True,VULNERABLE_DEPENDENCY,MEDIUM,"Library boto3:4.6.8 has CVE-2025-1155 (CVSS 6.2, MEDIUM). Patch available: upgrade to 4.0.0"
DEP-0163,APP-004,httpx,3.6.5,True,VULNERABLE_DEPENDENCY,LOW,"Library httpx:3.6.5 has CVE-2022-1136 (CVSS 2.8, LOW). No patch available yet."
